x,y,PO1,PO2,PO3,SO1,SO2,SO3,GG1,GG2,GG3,YB1,YB2,YB3
2578251.856,2466833.425,0,2,NA,0,1,NA,0,0,NA,0,0,NA
2579952.749,2400873.204,0,0,NA,1,1,NA,0,0,NA,0,0,NA
2573292.907,2418408.472,1,1,NA,0,0,NA,0,0,NA,0,0,NA
2576758.434,2404884.931,0,1,NA,0,0,NA,0,1,NA,0,0,NA
2567061.693,2412162.088,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2593665.458,2443354.921,0,0,NA,2,1,NA,1,0,NA,0,0,NA
2566531.864,2402159.019,1,1,NA,0,0,NA,0,0,NA,0,0,NA
2589112.394,2444862.713,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2598580.161,2441488.337,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2596780.881,2412001.779,0,0,0,0,0,0,0,0,0,0,0,0
2574154.791,2403263.484,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2604411.419,2391162.286,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2606930.563,2405980.902,0,0,NA,0,0,NA,1,0,NA,0,0,NA
2586144.04,2405788.171,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2619788.202,2390787.545,0,0,NA,0,0,NA,0,0,NA,1,0,NA
2604028.382,2423583.056,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
2604862.612,2421162.258,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2544608.389,2455913.312,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2613109.284,2401416.759,0,0,NA,0,0,NA,0,0,NA,1,0,NA
2570287.102,2413812.299,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2591701.385,2409687.241,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2601002.199,2405730.261,0,0,NA,0,2,NA,1,0,NA,0,0,NA
2588271.608,2383108.348,2,1,1,0,0,0,0,0,0,0,0,0
2609693.312,2398386.393,0,0,NA,0,1,NA,0,0,NA,2,1,NA
2567730.85,2403450.097,1,1,NA,0,1,NA,2,1,NA,0,0,NA
2621584.452,2403287.609,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2594453.645,2461974.989,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2558824.879,2403303.484,0,0,NA,0,0,NA,0,0,NA,2,0,NA
2567457.28,2416420.466,1,0,0,0,1,0,0,0,0,0,0,0
2609028.013,2416542.932,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2624618.159,2392403.366,0,0,NA,1,0,NA,0,0,NA,0,0,NA
2554122.967,2462055.002,0,0,NA,2,1,NA,0,0,NA,0,0,NA
2580489.854,2437386.898,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2553213.582,2442098.989,0,0,0,0,0,0,0,0,0,0,0,0
2575475.277,2427960.196,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2615327.635,2415664.36,1,0,NA,0,0,NA,0,0,NA,1,1,NA
2580263.559,2403023.633,0,0,NA,0,0,NA,1,0,NA,0,0,NA
2601076.49,2396914.084,0,0,NA,1,0,NA,0,0,NA,1,1,NA
2606501.41,2391106.972,1,0,NA,1,0,NA,1,1,NA,0,0,NA
2513448.038,2481348.889,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2613846.219,2432965.178,1,0,NA,0,0,NA,0,0,NA,2,0,NA
2548122.361,2472151.576,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2548519.273,2439229.542,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2587534.55,2435910.311,1,0,1,2,0,0,1,2,0,0,0,0
2623317.92,2394793.222,0,0,NA,1,0,NA,0,0,NA,0,0,NA
2584149.094,2442341.543,1,0,NA,1,0,NA,0,3,NA,0,0,NA
2616069.265,2395902.113,1,0,NA,0,1,NA,0,0,NA,3,0,NA
2603732.362,2434143.25,0,0,0,0,0,0,0,0,0,0,0,0
2611392.469,2420530.95,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
2591513.517,2438998.523,0,0,NA,1,0,NA,0,0,NA,0,0,NA
2599462.553,2411262.642,0,0,0,0,0,0,0,0,0,1,1,1
2582137.848,2407141.801,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2572289.185,2401769.439,0,0,0,0,0,0,0,1,0,0,0,0
2570670.881,2403342.552,0,0,NA,0,0,NA,0,1,NA,0,0,NA
2620362.791,2393447.923,0,0,NA,0,0,NA,1,0,NA,1,0,NA
2611353.497,2380028.772,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2577265.203,2408914.021,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2514926.804,2478530.284,2,0,NA,0,0,NA,0,0,NA,0,0,NA
2581139.314,2410579.582,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2577670.947,2422190.262,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2584025.703,2400636.614,0,0,NA,0,0,NA,0,0,NA,1,2,NA
2609627.301,2396261.629,1,0,NA,0,0,NA,0,0,NA,0,1,NA
2610509.092,2381543.564,0,1,NA,0,0,NA,0,0,NA,0,0,NA
2566655.904,2413404.228,0,0,NA,1,1,NA,0,0,NA,4,1,NA
2584862.898,2438722.972,0,0,NA,0,1,NA,0,0,NA,0,0,NA
2569762.479,2399862.279,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2591505.875,2441902.919,0,0,NA,0,2,NA,1,2,NA,0,0,NA
2544621.485,2452041.943,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2602762.784,2398962.448,0,1,NA,0,0,NA,0,0,NA,0,0,NA
2616262.02,2416512.054,0,0,NA,0,0,NA,1,0,NA,1,4,NA
2597212.571,2452860.064,0,0,NA,0,2,NA,0,0,NA,0,0,NA
2584491.504,2409902.173,2,0,NA,0,0,NA,0,0,NA,0,0,NA
2614927.38,2413295.599,0,0,NA,0,0,NA,0,0,NA,2,0,NA
2586425.672,2400202.463,0,0,0,1,2,0,0,0,0,5,0,0
2577973.166,2415401.908,2,1,NA,2,0,NA,0,0,NA,0,0,NA
2606010.314,2435038.559,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2560633.367,2404277.41,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2565954.789,2399252.995,0,0,NA,1,0,NA,0,0,NA,0,1,NA
2617876.536,2390571.856,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2589968.963,2386187.963,1,1,NA,0,0,NA,0,0,NA,0,0,NA
2606822.023,2389711.398,0,1,NA,2,0,NA,0,0,NA,0,0,NA
2602060.548,2425054.35,0,0,NA,2,0,NA,0,0,NA,0,3,NA
2589526.803,2439288.628,0,0,NA,0,0,NA,1,3,NA,0,0,NA
2593462.612,2396637.354,0,0,NA,0,0,NA,0,0,NA,2,0,NA
2544732.42,2442310.757,0,0,NA,0,0,NA,1,0,NA,0,0,NA
2588268.113,2439470.305,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2518325.835,2483628.405,0,1,NA,0,0,NA,0,0,NA,0,0,NA
2609296.127,2393428.074,0,1,NA,0,1,NA,0,0,NA,0,2,NA
2608539.588,2432390.925,0,0,NA,0,0,NA,0,0,NA,4,0,NA
2600211.897,2395586.697,0,0,NA,0,0,NA,1,0,NA,1,0,NA
2594900.884,2442024.263,0,1,0,2,0,1,0,0,0,0,0,0
2516444.915,2486256.449,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2580913.768,2411925.983,0,0,NA,1,1,NA,2,1,NA,0,0,NA
2605857.338,2419234.291,0,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA
2568562.32,2402231.875,0,0,NA,0,0,NA,0,0,NA,1,1,NA
2604529.097,2439654.932,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2565377.051,2422999.266,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
2586174.691,2411100.048,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2614500.149,2397356.115,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2616632.363,2409892.797,0,0,NA,0,0,NA,0,0,NA,0,1,NA
2620500.598,2405830.894,0,0,NA,0,0,NA,1,1,NA,0,0,NA
2614067.544,2420613.481,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
2579982.861,2431678.286,0,0,NA,0,0,NA,2,1,NA,0,0,NA
2552370.395,2459875.37,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2585225.4,2443660.335,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2595585.279,2458757.825,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2571880.476,2444052.587,0,0,NA,0,0,NA,0,0,NA,2,1,NA
2522737.062,2462337.485,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2563226.424,2438954.851,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2552634.14,2466109.648,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2523412.203,2459407.619,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2518030.512,2445647.925,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2549871.407,2447193.379,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2564661.206,2442982.921,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2558853.713,2464199.772,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2518017.132,2466543.078,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2510741.396,2467083.008,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2569155.002,2448144.723,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2559705.447,2450496.351,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2578862.379,2394244.136,0,0,NA,0,1,NA,1,1,NA,0,3,NA
2596876.701,2415014.214,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2533340.002,2407186.014,0,0,NA,0,2,NA,0,0,NA,0,0,NA
2574228.822,2420743.612,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2618551.508,2384691.135,0,0,0,0,0,0,0,0,0,0,0,0
2528491.006,2486492.769,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2616692.605,2379032.083,0,0,1,0,2,0,0,0,0,0,0,0
2551911.852,2402637.41,2,0,NA,0,2,NA,0,0,NA,0,0,NA
2532284.724,2410564.621,2,1,NA,0,0,NA,0,0,NA,0,0,NA
2624608.162,2390558.503,0,0,0,1,0,0,1,0,0,2,1,1
2558891.617,2391036.706,0,0,NA,1,1,NA,0,0,NA,0,0,NA
2533359.517,2405710.106,0,0,NA,0,0,NA,0,0,NA,3,0,NA
2616602.784,2382254.928,0,0,0,0,0,0,0,0,0,0,0,0
2606247.522,2386399.695,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2558077.236,2422716.077,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2617237.757,2386062.747,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2549737.821,2399345.413,0,0,0,1,0,0,0,0,0,0,0,0
2574597.312,2488902.119,2,0,0,0,0,0,0,0,0,0,0,0
2623257.799,2404728.047,0,0,0,0,1,2,1,0,0,0,0,0
2527602.546,2404066.478,2,2,NA,0,0,NA,0,0,NA,0,0,NA
2566251.028,2426471.09,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2512808.404,2429323.644,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2625456.869,2405147.832,0,0,NA,0,0,NA,0,0,NA,0,1,NA
2571863.69,2481930.283,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2611387.051,2420937.266,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2610191.995,2405967.895,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583726.469,2472888.269,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2590249.17,2464261.527,0,0,NA,3,1,NA,0,0,NA,0,0,NA
2590929.879,2416053.618,0,1,NA,0,1,NA,3,2,NA,0,0,NA
2589925.783,2398899.543,0,0,0,0,2,2,0,0,0,0,0,0
2626784.674,2402499.329,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2565258.351,2424618.419,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2593187.63,2425536.203,0,0,NA,0,0,NA,0,0,NA,2,0,NA
2551099.728,2400112.694,0,0,NA,0,0,NA,0,0,NA,2,3,NA
2560265.089,2422340.491,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2572284.569,2421713.242,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583116.908,2419433.662,0,0,NA,0,0,NA,2,0,NA,0,0,NA
2552140.875,2396581.044,0,0,NA,0,0,NA,0,0,NA,7,2,NA
2622131.161,2407425.309,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2598812.288,2423884.477,0,0,NA,1,0,NA,0,0,NA,0,0,NA
2583214.554,2381965.243,0,0,0,0,0,0,0,0,2,0,0,0
2516284.985,2441636.19,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2516975.263,2442725.746,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2584506.917,2423181.878,0,0,0,0,0,0,1,2,1,0,0,0
2581013.522,2428996.349,0,0,0,0,0,0,3,1,2,0,0,0
2585610.485,2465120.645,0,0,0,0,0,0,0,0,0,0,0,0
2568049.123,2425687.657,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2595558.246,2382618.295,0,1,NA,0,0,NA,0,0,NA,0,0,NA
2589996.515,2461104.61,0,0,0,0,0,0,2,0,0,0,0,0
2582250.657,2428363.892,0,0,NA,0,0,NA,0,0,NA,1,0,NA
2587764.347,2429087.517,0,0,NA,0,0,NA,0,2,NA,0,0,NA
2558273.405,2426254.227,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2562621.419,2420946.936,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2607588.636,2385330.66,2,0,NA,0,0,NA,0,0,NA,0,0,NA
2557657.582,2421044.36,0,0,NA,0,0,NA,0,0,NA,0,1,NA
2555137.05,2432937.145,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2511904.674,2474186.438,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2583106.815,2469023.89,0,0,NA,2,0,NA,0,0,NA,0,0,NA
2625649.196,2403785.02,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2620054.092,2399335.769,0,0,0,0,0,0,0,0,0,0,0,1
2572724.171,2478947.158,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2618819.587,2418513.063,0,2,NA,0,0,NA,0,0,NA,0,0,NA
2554420.148,2419809.666,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2571262.971,2424912.212,0,1,NA,0,0,NA,0,0,NA,3,0,NA
2594212.727,2382912.029,0,1,3,0,0,0,0,0,0,0,0,0
2529518.592,2402869.165,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2567820.657,2444226.522,0,0,NA,0,0,NA,3,0,NA,0,1,NA
2568053.588,2433542.614,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2574819.151,2439445.671,0,0,0,0,1,1,0,0,0,0,2,0
2517426.23,2454835.498,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2566839.195,2457467.943,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2558223.429,2428330.047,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2567902.765,2431287.945,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2577048.16,2458430.745,0,0,NA,1,1,NA,0,0,NA,0,0,NA
2574126.742,2435091.619,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2512395.167,2448414.035,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2521374.17,2458338.546,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2555440.781,2444765.696,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2555863.005,2468095.092,2,2,NA,0,0,NA,0,0,NA,0,0,NA
2513116.574,2449369.893,1,0,NA,0,0,NA,0,0,NA,0,0,NA
2517791.011,2461149.915,0,0,NA,0,0,NA,0,0,NA,0,0,NA
2552914.808,2426835.167,1,0,NA,0,0,NA,0,0,NA,2,0,NA
2515310.447,2454769.32,0,0,NA,0,0,NA,0,0,NA,0,0,NA
