planta;parche;diam;peso;az;pulpa;sem;pulpa.sem
P1-10;P1;9.257;0.414;18.5;0.361;0.0523;6.911
P1-10;P1;8.125;0.291;21.5;0.252;0.0393;6.408
P1-10;P1;9.011;0.387;18.5;0.331;0.0556;5.962
P1-10;P1;8.568;0.339;23.5;0.287;0.0519;5.534
P1-10;P1;7.484;0.222;16.5;0.177;0.0443;4.004
P1-10;P1;8.272;0.307;22.5;0.252;0.0555;4.532
P1-10;P1;8.371;0.318;22.75;0.272;0.0453;6.015
P1-10;P1;8.666;0.35;23;0.292;0.0581;5.019
P1-10;P1;7.829;0.259;20.5;0.217;0.0419;5.183
P1-10;P1;8.156;0.294;19.25;0.253;0.0417;6.062
P1-10;P1;8.469;0.328;24.5;0.285;0.043;6.637
P1-10;P1;9.749;0.467;15.5;0.399;0.0682;5.848
P1-10;P1;9.897;0.483;16;0.425;0.0581;7.314
P1-10;P1;9.651;0.456;22;0.412;0.0444;9.279
P1-10;P1;7.452;0.218;21.5;0.191;0.027;7.082
P1-10;P1;7.928;0.27;21;0.226;0.0434;5.216
P1-10;P1;8.912;0.376;16.75;0.32;0.056;5.721
P1-10;P1;9.06;0.392;19.5;0.328;0.0645;5.084
P1-10;P1;8.863;0.371;24;0.31;0.0608;5.103
P1-10;P1;8.125;0.291;21.5;0.241;0.0503;4.788
P1-10;P1;9.109;0.398;19.5;0.334;0.0633;5.283
P1-10;P1;8.715;0.355;19.25;0.303;0.0523;5.788
P1-10;P1;8.223;0.302;23;0.247;0.0546;4.526
P1-10;P1;8.075;0.286;24.75;0.238;0.0478;4.977
P1-10;P1;8.863;0.371;17;0.324;0.047;6.895
P1-10;P1;8.553;0.337;17;0.288;0.049;5.887
P1-10;P1;8.518;0.334;15.5;0.283;0.0504;5.621
P1-10;P1;7.731;0.248;26.75;0.208;0.0408;5.089
P1-10;P1;7.35;0.207;30;0.165;0.0418;3.956
D1-147;D1;8.403;0.321;26;0.279;0.0422;6.612
D1-147;D1;8.684;0.352;23.5;0.298;0.0533;5.598
D1-147;D1;8.394;0.32;18.5;0.276;0.0444;6.213
D1-147;D1;7.431;0.216;25;0.182;0.0337;5.408
D1-147;D1;8.148;0.294;21.5;0.25;0.0437;5.719
D1-147;D1;7.278;0.199;26;0.146;0.0536;2.72
D1-147;D1;9.018;0.388;21.25;0.338;0.0495;6.835
D1-147;D1;8.073;0.285;26.5;0.232;0.0532;4.366
D1-147;D1;8.807;0.365;25.5;0.319;0.0456;7.004
D1-147;D1;8.982;0.384;27.5;0.324;0.06;5.399
D1-147;D1;6.736;0.141;27.5;0.107;0.0335;3.199
D1-147;D1;7.378;0.21;28.5;0.168;0.0426;3.935
D1-147;D1;6.736;0.141;24;0.108;0.0327;3.302
D1-147;D1;8.066;0.285;27;0.235;0.0499;4.706
D1-147;D1;7.057;0.175;43.25;0.126;0.0497;2.53
D1-147;D1;7.538;0.228;23.75;0.198;0.0291;6.819
D1-147;D1;8.554;0.338;26;0.277;0.0607;4.562
D1-147;D1;7.224;0.194;25;0.149;0.0441;3.388
D1-147;D1;7.659;0.241;31;0.194;0.0471;4.109
D1-148;D1;9.378;0.427;23.5;0.372;0.0549;6.775
D1-148;D1;9.153;0.402;21.5;0.346;0.0564;6.136
D1-148;D1;8.143;0.293;28.25;0.243;0.0504;4.815
D1-148;D1;9.838;0.477;21;0.42;0.057;7.362
D1-148;D1;8.253;0.305;31.5;0.256;0.0489;5.237
D1-148;D1;8.625;0.345;23;0.306;0.0392;7.808
D1-148;D1;8.558;0.338;29;0.277;0.0614;4.505
D1-148;D1;9.498;0.44;28;0.385;0.0545;7.07
D1-148;D1;9.87;0.48;23.25;0.4;0.0798;5.017
D1-148;D1;9.608;0.452;24;0.404;0.0476;8.49
D1-148;D1;8.454;0.327;20.25;0.295;0.0318;9.275
D1-148;D1;9.442;0.434;21.5;0.388;0.0453;8.575
D1-148;D1;8.614;0.344;23;0.291;0.0534;5.444
D1-148;D1;9.221;0.41;22.5;0.371;0.0388;9.563
D1-148;D1;8.559;0.338;24.5;0.293;0.0456;6.415
D1-148;D1;7.799;0.256;23;0.229;0.0271;8.439
P2-150;P2;8.176;0.297;20.75;0.26;0.037;7.017
P2-150;P2;8.749;0.359;24;0.3;0.0586;5.121
P2-150;P2;7.707;0.246;24.25;0.207;0.0393;5.256
P2-150;P2;8.176;0.297;25.25;0.248;0.0486;5.104
P2-150;P2;8.072;0.285;26;0.243;0.0427;5.683
P2-150;P2;7.745;0.25;29.5;0.207;0.0426;4.868
P2-150;P2;8.087;0.287;26.75;0.235;0.0516;4.562
P2-150;P2;8.28;0.308;25.25;0.271;0.0367;7.39
P2-150;P2;8.332;0.314;27;0.263;0.0505;5.209
P2-150;P2;9.009;0.387;26.5;0.336;0.0509;6.601
P2-150;P2;8.529;0.335;26.75;0.287;0.0475;6.05
P2-150;P2;8.176;0.297;23;0.26;0.037;7.017
P2-150;P2;8.593;0.342;25;0.292;0.0497;5.877
P2-150;P2;8.28;0.308;23.25;0.267;0.0413;6.455
P2-150;P2;8.645;0.347;23.25;0.306;0.0417;7.332
P2-150;P2;8.436;0.325;23;0.285;0.0403;7.06
P2-150;P2;8.199;0.299;28;0.261;0.0382;6.831
P2-150;P2;8.228;0.302;26.75;0.258;0.0446;5.777
P2-150;P2;8.593;0.342;24.25;0.293;0.0493;5.933
P2-150;P2;7.998;0.277;22.5;0.245;0.0319;7.695
P2-150;P2;7.916;0.268;28.25;0.24;0.0284;8.454
P2-150;P2;7.187;0.19;25.75;0.167;0.023;7.24
P2-150;P2;7.135;0.184;21;0.154;0.0296;5.213
P2-150;P2;8.28;0.308;25.5;0.269;0.0392;6.855
P2-150;P2;7.603;0.235;23.25;0.194;0.041;4.721
P2-150;P2;8.072;0.285;23.75;0.247;0.0388;6.355
P2-150;P2;8.222;0.302;23.5;0.27;0.0319;8.455
D1-146;D1;10.42;0.54;23.75;0.477;0.0631;7.553
D1-146;D1;8.96;0.382;25.5;0.332;0.0496;6.693
D1-146;D1;8.894;0.374;22;0.326;0.0486;6.704
D1-146;D1;9.425;0.432;NA;0.39;0.0418;9.333
D1-146;D1;8.097;0.288;24;0.248;0.0402;6.166
D1-146;D1;8.827;0.367;23;0.292;0.0754;3.869
D1-146;D1;9.956;0.489;25.25;0.416;0.0734;5.668
D1-146;D1;8.031;0.281;24;0.242;0.039;6.204
D1-146;D1;7.5;0.223;21.25;0.191;0.0322;5.939
D1-146;D1;8.761;0.36;23.75;0.31;0.0502;6.171
D1-146;D1;9.889;0.482;23.25;0.42;0.0619;6.79
D1-146;D1;9.298;0.418;26.5;0.376;0.0422;8.909
D1-146;D1;7.633;0.238;27.25;0.199;0.0385;5.177
D1-146;D1;8.429;0.324;24;0.253;0.0706;3.59
D1-146;D1;8.471;0.329;23.25;0.296;0.0326;9.08
D1-146;D1;8.689;0.352;25;0.311;0.0412;7.549
D1-146;D1;9.624;0.453;23.25;0.377;0.0761;4.959
D1-146;D1;9.69;0.461;24.25;0.407;0.0541;7.514
D1-146;D1;8.693;0.353;23.25;0.311;0.0414;7.518
D1-146;D1;8.96;0.382;24;0.343;0.0383;8.962
D1-146;D1;9.69;0.461;23;NA;NA;NA
D1-146;D1;9.594;0.45;24;0.406;0.0446;9.095
D1-146;D1;8.695;0.353;23;0.283;0.0695;4.077
D1-145;D1;10.649;0.564;20.75;0.503;0.0613;8.209
D1-145;D1;10.333;0.53;22.25;0.468;0.0626;7.471
D1-145;D1;9.533;0.444;20.75;0.393;0.0509;7.716
D1-145;D1;8.804;0.365;19;0.319;0.0453;7.05
D1-145;D1;8.667;0.35;20.5;0.303;0.047;6.443
D1-145;D1;9.2;0.408;22.5;0.35;0.0571;6.138
D1-145;D1;9.267;0.415;17.75;0.364;0.0508;7.166
D1-145;D1;8.667;0.35;21.5;0.292;0.0579;5.042
D1-145;D1;9.733;0.465;21.75;0.418;0.0469;8.921
D1-145;D1;8.8;0.364;24.5;0.321;0.0429;7.49
D1-145;D1;9.867;0.48;20.75;0.436;0.0439;9.929
D1-145;D1;8.915;0.377;18.5;0.345;0.0313;11.035
D1-145;D1;9.333;0.422;23;0.375;0.0473;7.921
D1-145;D1;7.467;0.22;21.25;0.189;0.0313;6.024
D1-145;D1;8.8;0.364;22.5;0.304;0.0603;5.04
D1-145;D1;8.933;0.379;27.25;0.314;0.0643;4.889
D1-145;D1;8.728;0.356;21;0.322;0.0345;9.331
D1-145;D1;8.897;0.375;26.5;0.324;0.0503;6.45
D1-145;D1;8.8;0.364;19.5;0.319;0.0457;6.97
D1-145;D1;8.617;0.344;18.5;0.295;0.0498;5.916
D1-145;D1;9.467;0.436;18;0.386;0.0509;7.575
D1-145;D1;9.259;0.414;21;0.368;0.0457;8.058
D1-145;D1;8.58;0.34;20.5;0.301;0.0393;7.662
D1-145;D1;8.4;0.321;20.5;0.283;0.0383;7.379
D1-145;D1;9.281;0.416;20.5;0.371;0.0455;8.15
D1-145;D1;8.703;0.354;20.5;0.314;0.0402;7.799
P2-151;P2;9.694;0.461;22;0.39;0.0714;5.457
P2-151;P2;10.113;0.506;21;0.436;0.0705;6.184
P2-151;P2;11.29;0.634;21;0.533;0.1006;5.301
P2-151;P2;9.829;0.476;20;0.419;0.0563;7.449
P2-151;P2;9.963;0.49;19.25;0.423;0.0672;6.295
P2-151;P2;9.761;0.468;20.25;0.404;0.0646;6.25
P2-151;P2;10.232;0.519;21.75;0.44;0.0794;5.541
P2-151;P2;9.155;0.403;28.5;0.323;0.08;4.034
P2-151;P2;9.761;0.468;24;0.403;0.0658;6.117
P2-151;P2;9.627;0.454;20.5;0.405;0.049;8.261
P2-151;P2;8.213;0.301;23.5;0.256;0.045;5.681
P2-151;P2;10.502;0.549;21.75;0.462;0.0866;5.335
P2-151;P2;9.694;0.461;22.75;0.4;0.0606;6.608
P2-151;P2;10.165;0.512;20;0.444;0.0685;6.476
P2-151;P2;9.673;0.459;19.75;0.407;0.0517;7.874
P2-151;P2;9.559;0.446;22.25;0.406;0.0405;10.023
P2-151;P2;10.502;0.549;19.5;0.496;0.0527;9.409
P2-151;P2;10.098;0.505;21;0.446;0.0585;7.629
P2-151;P2;9.096;0.396;22;0.352;0.0445;7.905
P2-151;P2;8.617;0.344;19.25;0.309;0.0355;8.702
P2-151;P2;11.464;0.653;21;0.571;0.0814;7.019
P2-151;P2;9.963;0.49;19;0.433;0.0574;7.54
P2-151;P2;10.434;0.541;20.5;0.465;0.0764;6.084
P2-151;P2;10.165;0.512;22;0.464;0.0484;9.58
P2-151;P2;9.829;0.476;20;0.411;0.0649;6.329
P2-151;P2;9.694;0.461;22.75;0.396;0.0654;6.05
P2-151;P2;9.698;0.461;21.25;0.404;0.0572;7.068
P2-151;P2;10.098;0.505;21.75;0.441;0.0641;6.876
P2-152;P2;8.698;0.353;26.25;0.3;0.0533;5.626
P2-152;P2;8.021;0.28;24.75;0.227;0.0528;4.3
P2-152;P2;8.971;0.383;24.25;0.323;0.0599;5.39
P2-152;P2;8.125;0.291;27;0.243;0.0482;5.04
P2-152;P2;8.79;0.363;23.25;0.322;0.0411;7.836
P2-152;P2;8.594;0.342;25.25;0.287;0.055;5.217
P2-152;P2;8.49;0.331;23;0.285;0.0452;6.315
P2-152;P2;8.698;0.353;25.25;0.311;0.0423;7.349
P2-152;P2;8.125;0.291;24.5;0.254;0.0371;6.847
P2-152;P2;8.281;0.308;24.75;0.271;0.0374;7.236
P2-152;P2;9.219;0.41;23.25;0.361;0.0488;7.394
P2-152;P2;8.385;0.319;22.5;0.282;0.0374;7.537
P2-152;P2;7.656;0.24;23;0.188;0.0527;3.56
P2-152;P2;8.542;0.336;23.75;0.298;0.0385;7.735
P2-152;P2;8.333;0.314;23.5;0.265;0.0489;5.414
P2-152;P2;7.448;0.218;29.5;0.164;0.054;3.033
P2-152;P2;7.812;0.257;25;0.219;0.038;5.769
P2-152;P2;8.333;0.314;24.75;0.273;0.0409;6.669
P2-152;P2;7.917;0.269;22;0.233;0.0355;6.566
P2-152;P2;7.72;0.247;25.75;0.209;0.0378;5.541
P2-152;P2;8.438;0.325;25.25;0.275;0.0498;5.527
P2-152;P2;8.49;0.331;24.5;0.289;0.0413;7.006
P2-152;P2;7.604;0.235;21.75;0.195;0.0393;4.972
P2-152;P2;8.281;0.308;21.5;0.279;0.0295;9.441
P2-152;P2;7.76;0.252;22.5;0.199;0.0524;3.801
P2-152;P2;8.594;0.342;22.75;0.291;0.051;5.704
P2-152;P2;7.396;0.212;22.75;0.174;0.0377;4.628
P2-152;P2;8.187;0.298;23.25;0.249;0.0485;5.141
P2-152;P2;8.042;0.282;22.75;0.239;0.0435;5.486
P2-152;P2;8.385;0.319;23.5;0.277;0.0427;6.477
P1-8;P1;7.955;0.273;16;0.239;0.0338;7.068
P1-8;P1;8.295;0.31;22.25;0.266;0.0439;6.051
P1-8;P1;8.295;0.31;28.5;0.266;0.0432;6.165
P1-8;P1;8.068;0.285;15.5;0.238;0.0472;5.037
P1-8;P1;8.409;0.322;17.25;0.288;0.0334;8.637
P1-8;P1;7.955;0.273;16;0.239;0.0342;6.974
P1-8;P1;8.523;0.334;12.75;0.29;0.0438;6.631
P1-8;P1;8.447;0.326;15.5;0.279;0.0473;5.892
P1-8;P1;7.942;0.271;20.25;0.224;0.0469;4.785
P1-8;P1;8.352;0.316;15.75;0.267;0.0488;5.469
P1-8;P1;8.295;0.31;22;0.269;0.041;6.55
P1-8;P1;7.5;0.223;15.25;0.187;0.036;5.206
P1-8;P1;7.386;0.211;13.75;0.174;0.0374;4.644
P1-11;P1;9.068;0.393;20.5;0.336;0.0574;5.851
P1-11;P1;9.068;0.393;16.25;0.352;0.0416;8.453
P1-11;P1;8.012;0.279;23.5;0.236;0.0428;5.516
P1-11;P1;8.571;0.339;23;0.3;0.0391;7.681
P1-11;P1;9.13;0.4;19.5;0.356;0.0435;8.195
P1-11;P1;8.943;0.38;18.5;0.331;0.0484;6.845
P1-11;P1;8.819;0.366;18;0.32;0.0466;6.86
P1-11;P1;8.27;0.307;20.75;0.265;0.042;6.305
P1-11;P1;8.757;0.36;18.5;0.32;0.0393;8.149
P1-11;P1;8.26;0.306;21;0.263;0.0428;6.144
P1-11;P1;9.502;0.44;20.5;0.391;0.0489;8.003
P1-11;P1;7.95;0.272;26.5;0.231;0.0408;5.671
P1-11;P1;7.95;0.272;21;0.23;0.0417;5.527
P1-11;P1;8.571;0.339;22.5;0.305;0.0343;8.896
P1-11;P1;8.384;0.319;19.25;0.28;0.0396;7.06
P1-11;P1;9.316;0.42;22;0.362;0.0582;6.219
P1-11;P1;8.743;0.358;24;0.326;0.032;10.189
P1-11;P1;8.322;0.312;18.75;0.272;0.0408;6.658
P1-11;P1;8.757;0.36;20;0.317;0.043;7.362
P1-11;P1;8.943;0.38;22.75;0.341;0.039;8.736
P1-11;P1;8.26;0.306;18;0.271;0.0349;7.761
P1-11;P1;9.006;0.387;22.25;0.333;0.0532;6.266
P1-11;P1;8.322;0.312;20.75;0.274;0.0388;7.053
P1-11;P1;8.136;0.292;20.25;0.251;0.0416;6.027
P1-11;P1;8.198;0.299;20;0.263;0.0358;7.353
P1-11;P1;8.26;0.306;23.5;0.27;0.0359;7.516
P1-11;P1;8.26;0.306;21.25;0.263;0.0431;6.094
P1-11;P1;8.322;0.312;21.75;0.257;0.055;4.681
P1-11;P1;8.509;0.333;24;0.287;0.0461;6.217
P1-11;P1;6.77;0.144;24;0.102;0.042;2.437
P1-13;P1;9.629;0.454;20.25;0.389;0.0647;6.017
P1-13;P1;8.783;0.362;17.75;0.309;0.0538;5.736
P1-13;P1;10.74;0.574;18.75;0.513;0.0616;8.324
P1-13;P1;9.319;0.42;22;0.37;0.0506;7.309
P1-13;P1;8.483;0.33;15;0.285;0.045;6.331
P1-13;P1;8.383;0.319;17.5;0.268;0.0508;5.281
P1-13;P1;9.407;0.43;18.25;0.377;0.0527;7.159
P1-13;P1;8.784;0.362;23.5;0.326;0.0361;9.041
P1-13;P1;9.358;0.425;20.75;0.375;0.05;7.493
P1-13;P1;10.09;0.504;18.5;0.453;0.0513;8.824
P1-13;P1;8.624;0.345;21.25;0.298;0.0476;6.251
P1-13;P1;8.912;0.376;23.5;0.327;0.0492;6.65
P1-13;P1;9.692;0.461;21.25;0.411;0.0501;8.199
P1-13;P1;8.92;0.377;21.25;0.335;0.0418;8.025
P1-5(1);P1;8.786;0.363;18;0.308;0.0549;5.607
P1-5(1);P1;8.565;0.339;19.75;0.278;0.0607;4.581
P1-5(1);P1;8.402;0.321;18.75;0.274;0.0468;5.862
P1-5(1);P1;8.499;0.332;17.75;0.288;0.0435;6.624
P1-5(1);P1;8.743;0.358;20.5;0.292;0.0658;4.442
P1-5(1);P1;8.747;0.358;17.75;0.308;0.0509;6.043
P1-5(1);P1;8.795;0.364;17.25;0.308;0.0558;5.518
P1-5(1);P1;8.297;0.31;21.25;0.272;0.0375;7.26
P1-5(1);P1;9.279;0.416;27;0.347;0.069;5.031
P1-5(1);P1;7.992;0.277;25.75;0.231;0.0458;5.042
P1-5(1);P1;8.928;0.378;19.75;0.33;0.0483;6.828
P1-5(1);P1;7.164;0.187;19.75;0.15;0.0372;4.028
P1-5(1);P1;8.109;0.289;19.25;0.246;0.0437;5.622
P1-5(1);P1;8.557;0.338;20.25;0.289;0.0488;5.924
P1-5(1);P1;7.811;0.257;21.5;0.215;0.0421;5.107
P1-5(1);P1;8.856;0.37;16.75;0.324;0.046;7.05
P1-5(1);P1;8.01;0.279;19;0.237;0.0416;5.699
P1-5(1);P1;8.507;0.332;18.75;0.277;0.0557;4.969
P1-5(1);P1;8.557;0.338;16.75;0.296;0.0424;6.97
P1-5(1);P1;9.071;0.394;19.25;0.333;0.0608;5.473
P1-5(1);P1;8.13;0.292;16.25;0.247;0.0442;5.599
P1-5(1);P1;9.012;0.387;19;0.334;0.0528;6.333
P1-5(1);P1;8.259;0.306;19.75;0.26;0.0458;5.673
P1-5(1);P1;8.303;0.31;18;0.273;0.0377;7.233
P1-5(1);P1;8.856;0.37;20;0.322;0.0483;6.667
P1-5(1);P1;8.856;0.37;19.25;0.323;0.0468;6.912
P1-5(1);P1;8.856;0.37;16.25;0.326;0.0446;7.303
P1-5(2);P1;8.49;0.331;27.75;0.276;0.0551;5.001
P1-5(2);P1;8.951;0.381;20.5;0.327;0.0537;6.087
P1-5(2);P1;7.797;0.256;19.25;0.213;0.0426;5
P1-5(2);P1;6.979;0.167;44.25;0.115;0.0524;2.187
P1-5(2);P1;8.333;0.314;23;0.263;0.0505;5.211
P1-5(2);P1;7.845;0.261;28.75;0.213;0.048;4.433
P1-5(2);P1;8.125;0.291;25.25;0.239;0.052;4.598
P1-5(2);P1;8.229;0.302;27;0.252;0.0502;5.024
P1-5(2);P1;8.594;0.342;23.25;0.292;0.0496;5.894
P1-5(2);P1;7.714;0.247;26.25;0.19;0.0563;3.38
P1-5(2);P1;9.643;0.456;24.75;0.4;0.0554;7.223
P1-5(2);P1;8.021;0.28;26.75;0.241;0.0389;6.194
P1-5(2);P1;8.169;0.296;33.75;0.236;0.0599;3.94
P1-5(2);P1;6.818;0.15;23.25;0.101;0.0486;2.077
P1-5(2);P1;7.24;0.195;24.75;0.149;0.046;3.245
P1-5(2);P1;9.479;0.438;22.25;0.382;0.0562;6.79
P1-5(2);P1;8.49;0.331;23.25;0.285;0.0453;6.299
P1-5(2);P1;9.229;0.411;24.25;0.362;0.0486;7.451
P1-5(2);P1;8.177;0.297;22;0.251;0.0461;5.437
P1-5(2);P1;8.549;0.337;33.25;0.287;0.0496;5.795
P1-5(2);P1;10.119;0.507;21.5;0.453;0.0538;8.426
P1-5(2);P1;8.594;0.342;30.25;0.287;0.0546;5.262
P1-5(2);P1;7.956;0.273;23.25;0.232;0.041;5.654
